NAME,ASINS,TIME,RATING,URL,REVIEW_SUMMARY,FULL_REVIEW
Mushtaq,B0C7C1DRK5,Reviewed in India on 3 August 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AG55HKPPV7I7WW3CBHS7ERWDZOGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Best Samsung model ever with so many valuable features,"👇👇👇👇👇👇👇👇👇👇

*** Honest review of Samsung Galaxy M34 5G 8GB RAM ***

Super AmoLED display quality is like makkhan/butter and you won't get disappointed and graphic colors are good. Screen is brighter and text shown on display is sharp and crisp.

Refresh does little slow for default apps like YouTube or FB scrolling but kind of ignorable. But rest you will see superb performance when you switch to apps/folders/galleries/videos/widgets etc everything feels smooth.

I used Snapdragon chipset phones and never felt any slowness/jitterness/lagging/hanging problem in this model. I am not a gaming time-waster so I don't know about its gaming performance

Front and rear OIS camera photos are natural and vivid. It will not process images how Chinese brands shows artificial beauty but maintain natural colours.

Good work in terms of weight management as you would never feel heavy at all.

Sometimes slowness when switching from mobile data to wifi or vice versa.

Fast battery drain when you share your internet through hotspot.

Slow charging is a myth. I can see it's getting charged little faster than people are telling in reviews.

Full day battery back up when you continue use everything includes continue WIFI, social media, YouTube etc. Otherwise 1.5 day for average use.

Suitable for winter season because it heats a little more than average 😆 but manageable if you have back cover.

Speakers are sharp and well built which produce sharp sound quality.
Slow charging is a myth. I can see it's getting charged little faster than people are telling in reviews.

Exact size temper glass may not fix as it's display edges are slight curved which results in passing air in the gap of temper glass which gets removed/unstick. Use smaller width temper glass than the phone screen.

I don't know why the drop-notch is paining the reviewers. For me, it's not a matter of concern. Samsung has 1 feature to adjust the display so the screen will appear little below the notch to avoid any distraction while playing videos. Yes it's little old design but one doesn't have to follow every new design that launches every few months. Otherwise one can go for invisible camera which is hidden inside the display if you want to follow the trend.

Good good those who are comfortable in side mount fingerprint sensor than the in-display fingerprint.

As it has 4 years of Android OS updates then recommended to opt for 8 GB RAM.

If you want a full fledged decent phone with bundles of software feature and strong hardware package that can work for a long time and you don't have time to spend on researching about models every few months then this is a must buy model.

But if you want to stick to the trend where every 3 months there are newer models with new gimmick designs/features then you can ignore this phone. Also this may not be good gaming people.

In spite of all these pros and cons, I think it's justifiable for the price when compare to other models with exact same features.
I couldn't find a phone which has:

Super AmoLed Bright display.
6000 mAh battery.
OIS camera.
120hz Refresh Rate.
4 years of OS (stock Android like) updates
Decent chipset for multi tasking (except gaming)
5G with several bands.

It's an almost flagship level phone as you have same features of Samsung flagship phones.

Other Competitors: iQoo Z7s, Motorola Edge 20 Fusion, OnePlus Nord 3 CE Lite, Realme Narzo 60 5G, Realme 11 Pro, Xiaomi Redmi Note 12, Vivo T2,"
vm,B0C7C1DRK5,Reviewed in India on 1 August 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AEDPTCVQWI4PPGH6E2NGND3IDL6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Good Everyday Use Phone,"I choose this phone after checking many below 20-25K priced phone, one main feature I wanted this time was to migrate and ditch chinese phones.

It's a good phone for every day use ,it's not a gaming phone so don't expect a very great performance in this section.

Camera is okay types. Back cameras don't disappoint but sometimes you will fill that the software over kills the shots. Front camera is so so nothing really great about that. Both these cameras need sufficient light to produce acceptable quality photos. Low light photography is not so that great, but it's same with most of the phones except if it's pixel series phone. One more thing the main back camera is OIS but i dint felt it's presence while using camera :)) and don't expect too much from the camera app it's just okay type , digital zoom is useless... on all the phones.

Battery last for nearly 1.5 days if used lightly, if you are heavy user it will easily last for one day. Charger is not provided with the phone you need original Samsung 25W charger to get the best of phone's battery n this charger. It takes nearly 1.5 hours to fully charge his phone with this 25W fast charger.The phone n charger both gets warm while charging n it's something that is expected during fast charging.

Phone's hardware is loaded for day to day usage n the supplied softwares need some sorting to remove the unnecessary softwares that comes with the boxed unit.

Coming to phone's ergonomic... it's a very slippery phone so before you get the phone..get a back cover, Amazon's basic silicone cover seems a natural choice for this phone. Media n finger print scanner is mounted on right side of the phone n works very fast.

Display is good ! You get 3.5 mm jack , radio with Samsung's software.output speaker is mono but quite load and clear.

Phone is good with 5G networks, you will see dramatic download speeds on these networks,I'm using it on Airtel 5G n it's performing well on this network.

If battery life is critical to your usage, keep the phone in power saving mode.

I got this phone for 18.5k for the 8/128GB config, after all the card discount. I was not sure about Samsung cuz all this year's I never used a Samsung device but this time I seriously wanted to avoid chinese phone. There are 100s of phone in this segment even Samsung M/A series has many phones in this segment, but I took a risk as it was just launched n I'm not regretting my decision as I mainly use this phone for net browsing, emails, reading PDFs ,chats and camera.

Overall a nice deal !"
Biswajit Behera,B0C7C1DRK5,Reviewed in India on 31 July 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AFYN66VFL3Z5EC4Y4EQJOYGDUWYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Honest Review After 3 months of use,"I would like to rate 4/5 ( After 3 months I would like to rate 3.8 / 5 ) . I am Satisfied with this phone. ( Suggest to read all the cons and disadvantages first I have mentioned)I got it at 16999 + 1000 (for adaptor) on first sale. Because I did not pre book.

( After 3 months am updating the review again below)

October Update: -
During the big billion day sale this mobile price was go down to around ₹14200 rs with card discount

My requirements was A good Display and good Battery backup and Good Camera only because I don't play Games . So I prefer Samsung inspite of the myth told by my friends Samsung mobile get hangs and camera is not good.

Cons or Disadvantages: -
1) Front design ( After 1-2 years you ll feel low as everyone ll have punch hole display)

2) Battery is 6000mAh but I feel like 5000 mAh battery backup It will give 1 Day battery backup in normal use For heavy user may be needed to charge twice I can Say If you charge 2 times it will give you 1.5 days backup.

3) Front camera Should be 16 Mp inspite of 13mp.But you ll get clarity pic (photos r natural ) . Average pic. Using Snapchat filter for good selfie
One more cons ,while I click shutter button for photo Sometime it take little more time to respond.
Portrait mode is totally bad like below 10k range mobile camera
Back camera also not upto the mark only Ois is there

4 ) No in display 3 fingers screenshot available
5) Am getting some network issue First I thought for 5g connectivity but sometimes with 4g also .. No clarity video call . Before I was using infinix note 5 that was more better than this .
After doing the data on its taking sometime to get internet connection back like 5-10 seconds

6)After 3 months with 80 % storage full am getting another issue like while calling someone it's taking 3-5 seconds late to respond

No more cons I found till date. I ll update later.

Pros - 1) 120HZ Amoled Display is amazing ( As we know We know Even iPhone Use Samsung display) I compete it with Real me GT 2 Display but Samsung Won )

2)Camera is OIS but not upto the mark you have to manage with it

3) Performance and Speed is very fast you won't feel like exonos processor is used. Apps also open so quickly.

4) A lots of features has given by Samsung.( Some iPhone features too)
Like Screen and Call recording,All Sensor ,lot of Photo editing feature like Erase the object etc.

5) Charging time approximately 1 hour 30 minutes u can see I have uploaded a screenshot during the charge plug in

Suggestions: Buy a good Backcover first because phone is very glassy and slippery.

If your priorities is display and battery ( remember you have to do manage with camera )you can go for it as it also provides 4 years software updates. But ( After 3 months no major update I have found till October )

Don't buy by reading my review only it's better to take average people's review to account to take decision)

Am going to upload a full review video on a new YT channel name ‘Honest Review ’ upcoming so that you can get the complete information and ask me more questions regarding it.

Thank you...❤️"
Sourya Gourab Nanda,B0C7C1DRK5,Reviewed in India on 12 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AH4ZKLE2CCNYF2Q5PYDROKKXGFYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Best Phone in ₹14999/- on Amazon Sale❤️ Love it.,"Hello!!
this is Sourya Gourab,
today I'll give my honest review on Galaxy M34 5G after using 5 days. Here are some explanations with pro's and cons. So read all before purchasing......
👉... PROS ...👈
▪️1) CAMERA:- the main focus for this phone is it's '4K OIS' camera which is main feature. In my use I'll say yes camera is good and portrait photos are also good in this price point. No one will give this feature. Even 13mp selfie is more clear and bright as compare to those Chinese phones. For a better camera go for it .👍
▪️ 2) 120Hrz sAmoled DISPLAY:- Everybody know that, in the field of display, no one can beat Samsung. In my use, I have played Prime Video Movies, Youtube, display quality super....👍 but use tempered glass because there is a compromise in build quality that I noticed ...🤔 honestly saying....it's the sad truth. if you will not use external glass, there is a risk of damage by normal drop from hand.
▪️3) Software and Security:- in just 15k, you are getting ONE UI full version (not core)....which is a great thing🔥🥰. The king in Android world One UI has many security features like Secure Folder📁 etc. Samsung Knox🔒 is OSM. far better than those Chinese vulnerable phones.....also in term of update, no one can beat samsung. NFC, Dobly Atmos....etc are premium features in samsung 😍😍😍
▪️4) PROCESSOR:- Well the ""Exynos 1280"" 5nm SOC is not bad as people say, its now updated but still it's not recommendable for heavy uses. It will hang and heat a lot 🔥 Never use it for gaming... it's good for day to day tasks like Content watching on OTT, Social Media, Email and web Browsing, online Shopping etc.....there is no problem and in normal use there is no such major heating issue 😊😊it's completely fine. But again I'm saying that if you want phone for gaming and heavy uses, then go with IQOO phones available on Amazon at best price. like Neo7 and Neo7 pro.
👉 Yes!! sometimes it feels warm🔥 in backide but I'll say it's not normal and not bad 😊. ₹14999/- is a killer deal for this. Most go for it......👍👍👍
▪️5) BATTERY🔋:- 6000mAh battery used in this device, it's backup is good but not at that level of marketing which is explained on paper ..... it will give you 7-8 hrs screen on time in 85% of charge with normal use. Highest 10 hrs.
But you can do some important settings to increase it's battery life and better optimise the phone.👍 prevent background running of apps etc.....
❗️❗️👉... CON'S ...👈❗️❗️
▪️6) BUILD QUALITY:- It's build quality is not good.....Everyone know that Samsung gives good build quality in it's A series phones so their prices are also high📈. And the only compromise and cost cutting is it's ""Build quality"" . A normal drop from normal hight may cause damages😅 in your phone....so don't worry, always use Protective Glass and strong Cover.....otherwise!!!!!! KHATAM ...TATA...BYBY....GODBYE...GAYA 🤣🤣🤣🤣🤣
2:) Phone has slightly warm🌡 issue on its back side....also Slightly Heat🔥 during charging.....😐 but it's not a major point...because it's not always.... Samsung should optimise this otherwise it will not good........ And I hope it Will be more stabled in upcoming updates...because after August patch, Phone is more optimised and stabled. So we have that strong faith on SAMSUNG 😇😇😇
SO..... this was my opinions.... choice is yours....
I hope it will help you. That's my pleasure. Thank you Amazon ❤️. Regards
Sourya Gourab Nanda
(AMAZON PRIME COSTUMER)"
Namit Singh,B0C7C1DRK5,Reviewed in India on 16 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AF7CMX2EYPXUGHA347NF6BVORBMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Almost a 5 star review but somethings held me back,"The phone itself is amazing to touch and to feel.
The color midnight blue looks absolutely stunning. Very easy to setup and seamless data transferring from the old device.
The size of the phone is handy and not too big or small, I would the perfect size.
For the display all I need to say is that it is a Samsung display. Such a vibrant and good looking display, love it.
Didn't face any kind of lag or stuttering, the ram management is also pretty good.
The cameras too are pretty decent, daylight photography would yield good photos and in night the quality would go down but still so much better than other phones in this segment. Loved the cameras too 💥
The updates too are amazing, 4 years of Android updates and 5 years of security updates.
Speakers are loud too, with a decent amount of bass and clarity.
5g works well if you live in a metropolitan area, where 5g is available throughout.
The phone feels sturdy and durable.

Now why not 5 stars...
1) the phone gets hot, use too much camera the phone will get hot, use the phone for a really long time 3-4 hours it will get hot even in the winters.
2) the design is not the latest but will suffice. Still Samsung should have given a punch hole display."
Sameep Girdher,B0C7C1DRK5,Reviewed in India on 13 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AFEIPA2HES3DKNQ6NS4LW2TVBBNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Good Smartphone for Multitasking but it can freeze a bit if you put high load by opening many apps .,"I like it for day to day life as i'm not a gamer

Pros-
1.Its good for people with concern of battery backup as it has 1.5 to 2 day backup.

2.You should prefer 8gb 128gb minimum variant as there will be 4 OS updates and to handle that 8gb minimum ram should be required.

3.Also, camera quality is good and on top of that 120 hz Amoled Full Hd+ display is top notch.

Cons-
1. Not suitable for high end gaming , you can play games but not at highest graphics , standard graphics is preferred.

2.Some time get overheated due to excessive gaming or playing at high resoluion.

3. Fingerprint sensor is not that fast but decent."
Kindle Customer,B0C7C1DRK5,Reviewed in India on 5 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AH2SBTOS4XF6XII7AX3QQZ6CLKSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,One of the best phones in mid range price band,"Samsung is one of my favorite brands in Android smartphone segment, I have used C9, J7 prime, A50, A80, S21. Have also purchased A7 & A10 for a family member. I was looking to buy a mid range phone and this is one of the best phones in mid range prices with 4 Android and 5 yrs security updates. Samsung is known for a good display and awesome cameras however this device scores low as per my expectations. Another plus is powerful battery which lasts for more than a day if the usage is normal. One of the BIGGEST drawback, it's heavy and thicker as compared to the current generation of smartphones and may discourage buyers. So if you are looking for lighter and thinner phones, this may not be the right phone for you."
Vijay Kumar,B0C7C1DRK5,Reviewed in India on 17 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AGMDY4JZIAFV64QL6WGXDNSTVVWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Is it worth?,"Phone looks premium. Size feels big but it is normal these days all smartphone have almost same size. Touce responce is good 120hz feel super smooth don't swith to 60hz it kills the smoothness. I don't know about Durabitity , samsung promise for 4yrs os update but i don't think it can handle it. Battery is not so good it takes around 1hr 30 min(25w official charger) to full charge and gives around 6 to 7 hr (5g and 120hz enabled) screen on time."
Sarvesh K.,B0C7C1DRK5,Reviewed in India on 19 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AHHDCLF65EOZBG3X5ZZ467H3WJOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Nice camera and battery,"1. OIS Camera is better than other phones at this price. But not good as s21 fe and apple 7 plus. Broken Pixels are seen on zoom in pics. Video recording is good one.
2. 6000mah battery is best if you disable 5g connectivity. M34 uses 5nm processor which consumes less battery. Charging takes around 2 hours 20 minutes.
3. Worth at 15k price. No difference is seen between 120hz and 60hz refresh rate."
swati,B0C7C1DRK5,Reviewed in India on 16 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AG2CPLFN57SVTW6PBJVLM4YQJ6VQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Overrated and overpriced,"Pros :
1.Battery life is good. Easily works whole day with high usage.
2.Security and updates are good
3.Audio quality is good .

Cons:
1. Very heavy in weight
2. Very bad ,literally pathetic selfie ( front) camera
3.If you have used xiomi, redmi or oppo or any other phones in the past ,you will miss their camera and video quality. Very bad video quality.
4.Hear echo on calls most of the times.
6. No charger and dont get good back covers for this phone in market.

Overall very average phone. Regret buying this at 22000 ."
Shibhu,B0C7C1DRK5,Reviewed in India on 18 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AHANJQ73AKKFVL43CLWSBFNZ5VGA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good phone as it is samsung.,Phone is good. But has a lagging problem. A bit slow. Overall 👍 👌. But after using one plus ull fell the samsung is slow. May be because of the processer. But thebpho is good. Touch also is a bit slow. Compact in size. But very slippery... good for people who likes samsung.. it's a good phone. 8gb ram still slow🙆🙆 maybe afer the update it mite get better..
Pulkit,B0C7C1DRK5,Reviewed in India on 9 October 2023,3.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AG4F7TNSJ2R3NOENQQFT5E2AEETA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Buy only for your dad or mom,"All YouTube reviews are fake. They all get paid for it

Pros

Let's First talk about camera and screen the main highlights of screen
They all appreciated camera alot but it's not even close to hype gives yellowish tone to each photo like a cheap smartphone not eyepleasing at all
Display is good acc to price but you can tell the difference only when put side to side with another smartphone otherwise all display gives similar view in this price range
So not worth buying only for display

Now price i bought it for 15000
So I should be comparing it with other 15000rs smartphones but not you should go for Smartphone around 17000 because 15000₹ for smartphone + 1500 for charger + 200 cover and screen guard= 16700 ( other brands give all this with smartphone)

So all the best things about this phone camera display price , in actual are not that good all this is gimmick so only buy this phone for your parents who doesn't have long screentime as it has big battery, 4 years of updates

Cons
Took 2 hours too charge that's is way too long
Processor is not that good as you already know
Not worth the price there are better option in less price
Ugly drop notch chin ( though Mobile looks good you may call somewhat premium if chin is ignored)

If you are getting this with charger under 15k and not that fond of gaming and whitish photos ( pictures that makes you look fair) then you can go for it"
Amazon Customer,B0C7C1DRK5,Reviewed in India on 20 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AFOOJRLQLFWMQAZ2ZQ6Z56TAPZPQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Network Problem in M34,"I bought this mobile last month and so far only problem I am experincing is network issue. Sometime when I switching mobile net on, it is not connecting. I dont think it is mobile operator issue because I am seeing good coverage of network."
Harish R.,B0C7C1DRK5,Reviewed in India on 30 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AEELRJWEEOAIDR4SEQXG5R22MUYQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,All rounder,"What do you want in a phone?
1. Battery? Yes. 6000 mah. Will comfortably work for 36+ hrs. SOT(about 10 hrs). It has Battery protect feature. More than enough.
2. Display? 120 hz super amoled. More than enough.
3. Software? One UI 5.1 flagship level. All features and customization available. With good lock you get everything. Android 13 out of the box.
4. Updates? 4 years OS + 5 years security. More than enough
5. Knox security.
6. Samsung wallet with nfc.
7. Simple. Durable.
8. If you compare with other Chinese phones, goes are assembled phone. But Samsung has its own chipset(not the best one), camera sensors(good), display(very good) hence these very well co-ordinated.
9. I almost forgot, camera is good.
10. Phone is not for pro gamers.
11. No heating."
Sagar pandita,B0C7C1DRK5,Reviewed in India on 6 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AEWHNZVN3YBDG5TB6N6OLVX2OWOA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"Its good for average user, for day to day tasks.","Phone is smooth enough, cameras are okay (good in ample light, not so great indoors). Phone seems to stutter rarely not so frequent can be ignored. If you set your expectations in check then this won't disappoint you. There are few bloatwares of samsung but most of them can be uninstalled, rest can be disabled. Buy this if you don't want any other unreliable company's phone.

Promised software support is a bit ambitious but lets see how it keeps up with time, as of now updates are not that frequent."
P.k. saha,B0C7C1DRK5,Reviewed in India on 17 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AHIEE4H7GFIZGC7DYVFHPVPGH6ZQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,So so,"It's not the best in this segment and not the wrost maybe. Has some lag issues although my mother is using it so don't know what would have happened if I was using ,then i would be a 2 star rating. The display is perfect but overall not that much . It heats up whenever you charge it"
Yogi,B0C7C1DRK5,Reviewed in India on 18 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AG5QZWFC3TDSZHE35GX3XMX6OWTA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good for daily use,"Good for normal use. Not for heavy user/gamers.
Nice software experience.good camera.better audio output in wired earphones. Good battery backup.calling is Good,network is Good.Display is better in this price range than the competition.
And samsung trust"
Adil Ahmed,B0C7C1DRK5,Reviewed in India on 3 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AGDRJW6BYAOZ46THQQZDXOF2GEKA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good but,"Got the phone 8/128 on 27th Oct and today on 3 Nov I am reviewing. The phone performs good. About the display quality and battery backup is also good as expected from samsung . The issue I am facing is That the phones slightly starts heating whileplaying HD GAMES.

The game is not meant for gamers. If u want normal working phone with a good camera good features then samsung is a good choice"
Unmesh Chakraborty,B0C7C1DRK5,Reviewed in India on 5 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AF2AZWMQEY6SVWMLIBA4XZRPYQMA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good but have some issues,"Many YouTube says camera is good .. trust me this camera has too much noise .. selfi camera is worst .. camera is bad specially at night or low light
Performance is good battery is good
Even i played lots of games bgmi mobile legends.. not over heating.. everything is all right but not satisfied with camera dont look it for camera u don't get satisfied specially on human picture"
Sohan,B0C7C1DRK5,Reviewed in India on 17 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AFHRFWRQTKQWIYQN7CHOHGELZAXA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Quality product,"Only one con, I m unable to video call anyone. I thing thats a software issue.other than that the product is working fine. Giving it 4 stars"
VJ,B0C7C1DRK5,Reviewed in India on 9 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AF5WQDGASA37IHPD363TJIILNFIQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good in this budget!,"Got this phone a month back for self use. No lags in usage, great battery life and charges real quick with Original Samasung charger (bought separately as box doesnt come with a charer). Screen gets blank for a second while multitaksing but overall it is a good phone for regular use. Would recommend."
Shakir Alam,B0C7C1DRK5,Reviewed in India on 15 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AHVZ4WZ3DFRCKQCLKNHG772WPFDQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Over all best budget camera phone,Phone is best for videography and content watching . And for social media . And it's not for gaming And huge uses ..if you want to now more about this phone than contact me in instagram @shakir_ryan1
Sr Harish,B0C7C1DRK5,Reviewed in India on 19 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AHFGY35ANQPW32O22W3WQYV4FGGA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,budget phone with some flagship features,"mini samsung flagship phone nice design
charging take little longer to charge,
high brightness make phone little heating overall good phone"
Gajanan Chintewad,B0C7C1DRK5,Reviewed in India on 18 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AH7ABDUXJ67IRTXK6OT7ALMBU3OQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Value for money,Maine Sale mai liya tha 17500 Mai Mila 8-128 15 din hogaye use karte hue is price range Mai display battery badiya hai
Jagdish Kapadia,B0C7C1DRK5,Reviewed in India on 31 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AHTIULXAMUXV3P3COFF25FSGWT2Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good product,"Good product with most of features. But Seller need to disclose prominently that memory slot is in SIM 2 place so you can have memory card or SIM2.This is not highlighted any where in display for product. Customer get misguided by information of expandable 1TG memory. This can be available only from Q & A section.
This product is high priced to recover services of future updates."
Safder,B0C7C1DRK5,Reviewed in India on 21 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AECCKCQCFJUIN6FHGIFNTGRQOUXA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,good budget phone but camera not upto the mark.,"The phone is overall okay build is nice screen is awesome ,the cameras a re just fine not great at literally anything"
Ani,B0C7C1DRK5,Reviewed in India on 16 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AFKU5IX2ILW2QF3RDTKOSJLLCQEQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"Superb Phone, Good camera","Good Product by Amazon in this price. About phone everything is good Size, camera, display, functions, etc. But in box you get only phone and cable, there is no adaptor or back case in box."
Suhail Khan,B0C7C1DRK5,Reviewed in India on 4 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AHE24G2P4TVRQ3VHEMATJHBMJX6A/ref=cm_cr_getr_d_gw_btm?ie=UTF8,It's a package phone (8GB+256GB),"Well it's good if you wanna try Samsung company mobile
Don't buy if you are gamer, 4k Video watcher on youtube.
But if you are scroller of instagram, facebook and lite gaming.
Then it's good
Camera is good
Not best
Inflation affects a lot.
So, Buy only 8GB+256GB variant because hybrid simslot and no esim support buy 8GB+256GB which only make sense.
Samsung please give us charger also
1k for charger it's a huge price.
And don't go with the number game.
Also try offline for look and feel, then decide buy offline or online."
Dev,B0C7C1DRK5,Reviewed in India on 17 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AFIJIAPCK45UXNDYOGTG5JJVGOBQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,It is good for regular use,"Camera will shake, but quality is good when no shake.
Charging is good
If you play pubg it will get heat
Touch is smooth
Battery life is super
Performance speed is medium"
Bikrant Rawat,B0C7C1DRK5,Reviewed in India on 1 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AGM7M6IPOUGYSGZ33FVPW77PP3EA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Can take only if you're samsung fan...,"It comes with bundle of good package...
Everything works fine and most reviews over youtube and amazon are true however things to worry...
1-Not a gaming phone... decent play over bgmi
2-No app lock, net speed view, and other handy features
3-Network issue feels sometimes.. while same sim on Chinese brand or apple works fine... I faced no. Not reachable or switched off while it shows full on network ...
Rest all works fine and goes unnoticed during day to day work..."
Anndu,B0C7C1DRK5,Reviewed in India on 13 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AHSAVYCF6BACBSLZQAC2RKEULUPQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"Best phone phone your daily driver, Not for gaming","After purchasing I used this device 5 days. In my experience it is a great phone,

Connectivity- 5G is stable I tested with Airtel 5g and speed is awesome.

Heating- No heating issue

Performence- Phone performs smoothly in all apps. Sometimes jitters at the time of heavy multitasking. This phone is not for high end gaming

Camera- The best camera under 20k

Battery - Battery is 6000 mah but it feels like 5000, It's okay normal.

Display- No comparison in display, it's awesome

One ui- The full one ui is so much usefully in daily office tasks. It packs uncountable features for you.

Conclusion- If you are not a gamer and your budget is under 20k than don't think anything go for it."
Khemraj fekar,B0C7C1DRK5,Reviewed in India on 16 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AGFMFRITVHZOIRT2LWE7UXMARX2A/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Nice phone,"This phone has huge battery. I purchase this phoe in sale at price of 14500 at this price is good.
not purchase in 20k"
Haneefa,B0C7C1DRK5,Reviewed in India on 14 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AHLM53V5OLABIXPGFS2NE45DDZ6Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Value for money,"I'm writing this review from the same phone for which the review is intended; I was a user of Samsung phone till mid 2018; I switched over to iPhone thereafter; now, when I decided to try an Android now, the natural choice fell on Samsung; and I was not disappointed with this phone; I didn't expect this kind of performance from this model as it's a midrange model; it has all the best features of One UI which are required for me; brilliant display, very fluid UI, good video and audio features, and I can hold it into my palm easily; I didn't try games as I have never been to games; I find the synthesis of the hardware and software excellent; and, I got it for ₹20499/- on the 7th October as soon as the Great Indian Sale opened for Prime members; I was not let down by my choice till now; thanks to Samsung and Amazon for bringing this product.."
Vishal,B0C7C1DRK5,Reviewed in India on 16 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AFK2CIEIKCG3QECAOIGAFPALHV4Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Satisfied with device.,"Nice camera, Good Battery Life, Feature rich software, smooth processor, better network connectivity. Only cons is slow charging."
Amazon Customer,B0C7C1DRK5,Reviewed in India on 8 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AHVSMIAG4ZLNUBVNQJOEGVSJV2VA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Mobile is good,Mobile is good but Amazon delivery with exchange process is horrible. Delivery people are avoiding such sort of delivery with exchange. I was troubled for 3 days and finally cancelled the exchange process and got the the item on 4th day. I a prime member for the past 10 years. I never had such trouble from Amazon so far. These delivery people avoid such delivery by mentioning that people are not available at their residence. Amazon customer care people bluff as much they can without knowing the exact reason.
